name,code,country,lat,lon,elev,id,peak_name,peak_lon,peak_lat,summit_lon,summit_lat,min_lon,min_lat,max_lon,max_lat,min_height,max_height,bbox_width,bbox_height,bbox_depth
Perdiguère / Perdiguero,Perdiguè,FR,42.692,0.5188666666666667,3222.0m,100,Perdiguère / Perdiguero,0.5188666666666667,42.692,0.5183333333333333,42.691944444444445,0.5161111111111112,42.689166666666665,0.5211111111111111,42.694722222222225,2858,3216,19,21,348
Petit Quayrat,PetitQua,FR,42.72291666666667,0.5180166666666667,2847.0m,101,Petit Quayrat,0.5180166666666667,42.72291666666667,0.5177777777777778,42.723055555555554,0.5152777777777777,42.72027777777778,0.5205555555555555,42.72555555555556,2529,2822,20,20,283
Peña Blanca,PeñaBlan,ES,42.68886666666667,0.6362833333333333,2305.0m,102,Peña Blanca,0.6362833333333333,42.68886666666667,0.6377777777777778,42.69027777777778,0.635,42.6875,0.6391666666666667,42.69166666666667,2201,2448,16,16,237
Pic Arrouy,PicArrou,FR,42.81075,0.45645,1850.0m,103,Pic Arrouy,0.45645,42.81075,0.4558333333333333,42.81,0.45361111111111113,42.808055555555555,0.4586111111111111,42.81277777777778,1715,1843,19,18,118
Pic de Belle Sayette,PicdeBel,FR,42.73623333333333,0.4423333333333333,2812.0m,104,Pic de Belle Sayette,0.4423333333333333,42.73623333333333,0.44083333333333335,42.73722222222222,0.4394444444444444,42.73444444444445,0.4436111111111111,42.73888888888889,2519,2802,16,17,273
Pic de Boum,PicdeBou,FR,42.69936666666667,0.5575833333333333,3006.0m,105,Pic de Boum,0.5575833333333333,42.69936666666667,0.5577777777777777,42.69916666666667,0.5549999999999999,42.696666666666665,0.5602777777777778,42.70194444444444,2712,2966,20,20,244
Pic de Brudaillet,PicdeBru,FR,42.75288333333334,0.4516,2194.0m,106,Pic de Brudaillet,0.4516,42.75288333333334,0.45166666666666666,42.752500000000005,0.4488888888888889,42.75,0.45444444444444443,42.75527777777778,1886,2260,21,20,364
Pic de Cagire,PicdeCag,FR,42.9466,0.7658833333333334,1912.0m,107,Pic de Cagire,0.7658833333333334,42.9466,0.7661111111111111,42.94638888888889,0.7633333333333333,42.94388888888889,0.7686111111111111,42.94916666666667,1623,1912,20,20,279
Pic de Campoun,PicdeCam,FR,43.01685,0.6958833333333333,880.0m,108,Pic de Campoun,0.6958833333333333,43.01685,0.6961111111111111,43.01722222222222,0.6933333333333334,43.01444444444444,0.6986111111111111,43.01972222222222,677,891,20,20,204
Pic de Coume Nère,PicdeCou,FR,42.74346666666667,0.5222166666666667,2424.0m,109,Pic de Coume Nère,0.5222166666666667,42.74346666666667,0.5219444444444444,42.74333333333333,0.5194444444444444,42.74055555555556,0.5247222222222222,42.74611111111111,2186,2420,20,21,224
Pic de Céciré,PicdeCéc,FR,42.75725,0.53805,2403.0m,110,Pic de Céciré,0.53805,42.75725,0.5380555555555555,42.75694444444444,0.5352777777777777,42.754444444444445,0.5408333333333333,42.75972222222222,2144,2401,21,20,247
